dataset,forecaster,coverage,horizon_hours,window,method,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,forecaster_key,window_order
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,aci_global,444912,0.8018012550796562,0.5590263177061379,0.8974522826136252,0.0376528392131477,0.0492767558839884,0.0074354284447399,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,aci_segment,444912,0.8017832739957564,0.5586641534477462,0.8974310468568137,0.0377283597655266,0.0489930539520654,0.0020375122189637,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,aci_user,444912,0.8032419894271227,0.5589784076463379,0.8950072069430101,0.0056379688567626,0.007459899812694,0.0034045087976538,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,pid_global,444912,0.7997918689538606,0.560167513547034,0.8970936502615311,0.0368257093537598,0.0480666931980541,0.006250692827846,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,pid_segment,444912,0.7997918689538606,0.5600034014158797,0.8971731374953412,0.0363510087388067,0.0469103184669367,0.0002826737612238,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,pid_user,444912,0.7996907253569245,0.5766973874084081,0.9055235976157504,0.0009368144711763,0.0012072753013448,0.000459738514174,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,raw,430560,0.7868334262356002,0.4109556963587099,0.6434612487243528,0.0385056670382757,0.0514929144619183,0.0173374368686869,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,rolling_global_norm,430560,0.8152104236343367,0.4186116690373967,0.6436674994609267,0.0406749349684132,0.0482347969877534,0.0259943181818181,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,rolling_group_norm,430560,0.8146530100334448,0.4180925917921559,0.6435830355722605,0.0396576551467855,0.0475370233886952,0.0250552398989898,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,rolling_user_norm,430560,0.8142767558528428,0.4186851842692227,0.6435365521608878,0.0353748606465997,0.0451739052813698,0.0277777777777776,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,aci_global,430560,0.8028288740245262,0.4148891982489144,0.6434042403460445,0.0375371609067261,0.0494461377496156,0.0087989267676766,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,aci_segment,430560,0.8027313266443701,0.4146861013540761,0.6433611983042268,0.0372584541062801,0.0491346276169169,0.004537563131313,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,aci_user,430560,0.8036580267558529,0.4144347621781848,0.6414552926639503,0.0062360646599777,0.0069690889487934,0.0054292929292928,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,pid_global,430560,0.8000092902266815,0.4144903393455171,0.6432310830921582,0.0359671125975473,0.0478125593539917,0.0069383528265107,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,pid_segment,430560,0.7999930323299889,0.41449685997191,0.643299422077791,0.0354166666666666,0.0466217286139711,3.945707070707183e-05,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,pid_user,430560,0.7999187105165366,0.4282131183851651,0.6520275022973774,0.0006201226309921,0.0009477454243527,0.0001340155945419,lgbm,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-10,raw,444912,0.7797092458733412,0.3709421777677003,0.60365527843066,0.040818858560794,0.0537333582919528,0.0238132331378299,lgbm,3
Ausgrid,lightgbm_quantile,0.8,1.0,2012-10,rolling_global_norm,444912,0.7970924587334125,0.3752912063739654,0.6034666449270617,0.0366346603373251,0.0482929225623301,0.0103671477079796,lgbm,3
Ausgrid,lightgbm_quantile,0.8,1.0,2012-10,rolling_group_norm,444912,0.7968384759233287,0.3749659216437284,0.6034504618987951,0.0364615924047901,0.0483484236178626,0.0054788826072498,lgbm,3
Ausgrid,lightgbm_quantile,0.8,1.0,2012-10,rolling_user_norm,444912,0.7951460064012659,0.3746521455102637,0.6026868330308179,0.02739418132125,0.0377684981617178,0.0068091120718324,lgbm,3
