forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Global-CQR,rolling_global_norm,0.0682991241862519
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Segment-CQR,rolling_group_norm,0.0648953736172647
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,User-CQR,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Ex-post best fixed,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Month-wise oracle,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,CSGR,rolling_user_norm,0.0527943784385675
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,Mean-fold minimum,rolling_user_norm,0.0527943784385675
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,Latest-fold minimum,rolling_user_norm,0.0527943784385675
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,Previous-window winner,rolling_user_norm,0.0527943784385675
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,Follow-the-leader,rolling_user_norm,0.0527943784385675
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,Global-CQR,rolling_global_norm,0.0672213190527122
