dataset,configuration,window,coverage,horizon_hours,method,half_life_days,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,mean_calibration_age_days,effective_weight_sum,erw_global_correction,picp_abs_gap,l05
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,rolling_global_norm,,444912,0.8920190959111015,0.744639292028958,1.5289170873982427,0.0375813644046463,0.05049159327558,0.0141647802301452,16.47481569652361,271620.33269672527,-0.2164389220570909,0.00798090408889851,0.025873072317395752
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,rolling_group_norm,,444912,0.8921157442370626,0.7403847029362971,1.5284464763947962,0.0372878232099831,0.0508904575277528,0.0097785722203747,16.47481569652361,271620.33269672527,-0.2164389220570909,0.007884255762937387,0.0235331977151789
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,rolling_user_norm,,444912,0.8915987880749452,0.7252113598713826,1.4949682263073711,0.0255713489409141,0.0330574698107116,0.0097033846529814,16.47481569652361,271620.33269672527,-0.2164389220570909,0.00840121192505483,0.017637366796947752
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,erw_global_norm,14.0,444912,0.8920348293595138,0.7447089385659372,1.5289114210444927,0.0375746214981839,0.0504840582776367,0.0141353046594981,16.47481569652361,271620.33269672527,-0.2164389220570909,0.007965170640486186,0.025854963078840998
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,erw_group_norm,14.0,444912,0.8922123925630236,0.7427579969576653,1.5282043662035794,0.0371938720466069,0.0507518123702163,0.0081399735898887,16.47481569652361,271620.33269672527,-0.2164389220570909,0.007787607436976374,0.022666922818247802
Ausgrid,persistence_qi__c90__h1,2013-01,0.9,1.0,erw_user_norm,14.0,444912,0.8900951199338296,0.730008678092817,1.492801043054683,0.0251636278634876,0.036286790867566,0.0116063006979815,16.47481569652361,271620.33269672527,-0.2164389220570909,0.009904880066170407,0.01838496428073455
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,rolling_global_norm,,401856,0.9030622909698997,0.7621503403016598,1.3535503158161393,0.0358690675266762,0.047988333783812,0.012312297077922,16.47481569652361,271620.33269672527,-0.1693165482680699,0.003062290969899628,0.0240906823022991
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,rolling_group_norm,,401856,0.902706442108616,0.759549303937048,1.352479279664637,0.0357750039815257,0.0488984637984649,0.0060198821796759,16.47481569652361,271620.33269672527,-0.1693165482680699,0.002706442108615925,0.0208974430806008
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,rolling_user_norm,,401856,0.8997202978181239,0.7569371227162278,1.327085322350582,0.0263676540850453,0.0418605811344893,0.0046008222876778,16.47481569652361,271620.33269672527,-0.1693165482680699,0.00027970218187611806,0.01548423818636155
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,erw_global_norm,14.0,401856,0.905904104953018,0.7769370368924371,1.3544269117748369,0.0357784878165312,0.0470398443469968,0.0149164637445887,16.47481569652361,271620.33269672527,-0.1693165482680699,0.0059041049530179635,0.02534747578055995
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,erw_group_norm,14.0,401856,0.905540790731008,0.7733112977703209,1.3530938211061465,0.0356142498805542,0.0478026708775566,0.0081062837506136,16.47481569652361,271620.33269672527,-0.1693165482680699,0.005540790731007994,0.0218602668155839
Ausgrid,persistence_qi__c90__h1,2013-02,0.9,1.0,erw_user_norm,14.0,401856,0.9040999761108456,0.7790762195544039,1.3249426802931916,0.0249124064341455,0.0349178979289958,0.0074312714776632,16.47481569652361,271620.33269672527,-0.1693165482680699,0.00409997611084556,0.01617183895590435
Ausgrid,persistence_qi__c90__h1,2013-03,0.9,1.0,rolling_global_norm,,444912,0.903288740245262,0.7665272573220046,1.3473251776506447,0.0367812061711079,0.0480105791996965,0.0156586021505376,16.47481569652361,271620.33269672527,-0.1971596958037664,0.003288740245261934,0.026219904160822753
Ausgrid,persistence_qi__c90__h1,2013-03,0.9,1.0,rolling_group_norm,,444912,0.9035696946811954,0.7632650884756754,1.345720392628403,0.0364543999712302,0.0480997121041855,0.0058910679374388,16.47481569652361,271620.33269672527,-0.1971596958037664,0.00356969468119539,0.0211727339543345
Ausgrid,persistence_qi__c90__h1,2013-03,0.9,1.0,rolling_user_norm,,444912,0.9015850325457618,0.7605772540257442,1.3107728766276736,0.0226507713884992,0.0330729292044114,0.0030733843254627,16.47481569652361,271620.33269672527,-0.1971596958037664,0.0015850325457618109,0.012862077856980951
