dataset,forecaster_key,window,window_order,scenario,comparison,target,base,delta_picp,delta_mpiw,delta_winkler_interval_score,delta_macro_user_abs_coverage_gap,delta_max_abs_cluster_coverage_gap,delta_joint_loss,relative_mpiw_change,relative_winkler_interval_score_change
UCI Electricity,persistence,2014-11,10,O,aci_global_vs_static_global,aci_global,static_global,-0.005732730531117669,-0.03913222384809956,-0.013553960414071753,-0.0004928315412187009,0.024356995884773705,0.011932082171777506,-0.00017744126770369894,-3.4131608049042834e-05
UCI Electricity,persistence,2014-12,11,O,aci_global_vs_static_global,aci_global,static_global,0.0028428798915270947,3.6812953064716964,0.04110107503288418,-0.0002713792451044944,-0.005289227399442403,-0.0027803033222734558,0.016692476522599094,0.00010974655577551153
London,lgbm,2013-03,0,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.0041546609514308,0.001217714682956006,-5.877574273260855e-05,-0.0006709510229779975,-0.0130077833457725,-0.006839367184375247,0.0031867260267965792,-8.948029662516814e-05
London,lgbm,2013-04,1,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.00235157098005756,0.00041572551496921184,-3.826690616270945e-06,-0.00021906497469289382,-0.0042901428957034,-0.002254603935198149,0.0012690798066118953,-6.881818224468915e-06
London,lgbm,2013-05,2,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.004305760063470276,0.0006449441804514122,-2.5903852570896557e-05,-0.0008486747390744967,-0.0073911652943185,-0.0041199200166964975,0.002328354226697552,-5.319286542325932e-05
London,lgbm,2013-06,3,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.0014683409832600969,0.0002933073528103014,-1.931204863525604e-06,-4.664690664920451e-05,-0.0025152439024392,-0.0012809454045442023,0.0011421235138709494,-4.284747658317801e-06
London,lgbm,2013-07,4,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.013087181528662506,-0.0024114194676921052,-0.0001374533633384245,-0.0012050832342730966,-0.0160505066497784,-0.008627794942025747,-0.010210438526770579,-0.0003438764570356483
London,lgbm,2013-08,5,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.002044739601537948,-0.0002720031072389051,-4.696196417630638e-06,0.00013672888018979867,-0.0040925125067863,-0.0019778918132982506,-0.0011749703411054943,-1.1879684099754906e-05
London,lgbm,2013-09,6,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.012365048241475662,0.002054480259331082,-9.254329947061546e-05,-0.0014449723016349003,-0.013884803921568701,-0.007664888111601802,0.00788573894502446,-0.00020090371708665554
London,lgbm,2013-10,7,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.00504342538582403,0.0009398994109832137,-1.7241654523880712e-05,-0.0007337913136905988,-0.0085265152863999,-0.0046301533000452505,0.003235856430937059,-3.408286010419221e-05
London,lgbm,2013-11,8,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.005686053108765132,0.001897194237703792,-6.216947256365568e-05,-0.0006397008731413023,-0.019387953889025297,-0.010013827381083303,0.005419632310816276,-0.00010152983499442378
London,lgbm,2013-12,9,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.00041433937084989214,-0.00028600140242968086,-1.5418226829821968e-05,-0.00031206564759719835,-0.0056077524718383,-0.0029599090597177483,-0.0007754513660818455,-2.4790623506066986e-05
London,lgbm,2014-01,10,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.00364152631897674,-0.0009117000632338779,-6.274367371994494e-06,-3.0428795240095008e-05,-0.0033906694716001,-0.0017105491334200966,-0.0024810453567181874,-1.007563276239488e-05
Ausgrid,lgbm,2012-07,0,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.007329539324630541,0.0023605708555065608,-7.663107017519266e-05,-0.0006342827345631949,-0.0113407258064516,-0.005987504270507399,0.003961360337416855,-7.763955133792724e-05
Ausgrid,lgbm,2012-08,1,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.0051852950695868705,-0.0014327898800932104,-0.00011530534035208984,-0.00018565469126479578,-0.006111893553531901,-0.0031487741223983484,-0.002558110514905204,-0.00012846728201816642
Ausgrid,lgbm,2012-09,2,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.011921683389074733,-0.0034064904380798344,-0.00022183726803370885,-0.0023992010405054012,-0.0205176767676768,-0.011458438904091095,-0.008147693848096894,-0.00034469098122895023
Ausgrid,lgbm,2012-10,3,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.0033602150537633824,0.0011353465728854983,-3.221642414108494e-05,-0.00011642751825079872,-0.0048083669669762,-0.0024623972426135003,0.0030278660202199418,-5.3387023749578254e-05
Ausgrid,lgbm,2012-11,4,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.00645903010033444,0.001888211702008813,-4.2749149193666014e-05,-0.000810572277963599,-0.0079878195615953,-0.004399195919779449,0.005155703900553748,-7.034434836810287e-05
Ausgrid,lgbm,2012-12,5,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.00013710576473546787,0.00021926934635096984,-5.087600710496076e-06,-0.0001622792821951019,-0.0027523216031281,-0.0014573004426616,0.0005467567587082005,-7.710485340601414e-06
Ausgrid,lgbm,2013-01,6,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.006050634732261639,0.002131629832999804,-2.476804442896885e-05,-0.0005133599453375007,-0.0076557476998116,-0.004084553822574548,0.004764615045969889,-3.185567315760493e-05
Ausgrid,lgbm,2013-02,7,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.005748327759197314,-0.0018203178295538858,-5.969716146014825e-05,-0.0002956282847587019,-0.0088110902255638,-0.004553359255161253,-0.0047304755770976115,-9.473671455719774e-05
Ausgrid,lgbm,2013-03,8,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.0060416441903118345,-0.0020808250566792252,-7.748452446298959e-05,7.462149818390079e-05,-0.008043731293648099,-0.003984554897732102,-0.00544920554895211,-0.00012412546379069324
Ausgrid,lgbm,2013-04,9,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.005121237458193928,0.0013978477328498995,-4.0022211827417387e-05,-0.0003367707172054965,-0.0080409356725146,-0.004188853194860051,0.003750532407598587,-6.694717873361045e-05
Ausgrid,lgbm,2013-05,10,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.010103121516164992,0.0031076627649443966,-0.00011324701491710609,-0.0014425324558564045,-0.0110141519535225,-0.006228342204689451,0.0069932047138717085,-0.00015426619893249094
Ausgrid,lgbm,2013-06,11,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.009805834262356039,0.003469172872580084,-0.0001322063992643674,-0.002071720549981497,-0.012957702020202,-0.007514711285091749,0.006142147004894652,-0.00013938717082710353
UCI Electricity,lgbm,2014-01,0,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.005761496351085249,-1.2702806712714505,-0.5422171193533813,-0.0009936336402710036,-0.0033319608072092,-0.0021627972237401004,-0.0035908532349852476,-0.0013004547286009176
UCI Electricity,lgbm,2014-02,1,O,aci_segment_vs_static_segment,aci_segment,static_segment,-0.008092923854185363,-3.1107028542328408,-1.472243501234857,-0.0012619585596845978,-0.009922346850733399,-0.005592152705208998,-0.008965283966020596,-0.0036484102584285684
UCI Electricity,lgbm,2014-03,2,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.00579307160082565,0.101096456882658,-0.07965210257225408,-0.0010117894088719007,-0.0095902702237627,-0.005301029816317301,0.0002978944256234945,-0.00019542684653659775
UCI Electricity,lgbm,2014-04,3,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.006469762907916232,1.217474181413536,0.054063192398928095,-0.00015682419783089735,-0.007911835664422,-0.0040343299311264465,0.0033772718167568425,0.00011194982030828376
UCI Electricity,lgbm,2014-05,4,O,aci_segment_vs_static_segment,aci_segment,static_segment,0.005849315014425871,0.4768207465294836,0.03663897438991626,-0.0009358114641838042,-0.0088148953909753,-0.0048753534275795506,0.001033823181594598,6.936494036684588e-05
