scenario,method_name,dataset,forecaster_key,window,window_order,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,joint_loss,selected_static_policy,router_loss_audit
M,static_segment,London,persistence,2013-12,9,0.7893180180470859,0.3663397741442011,0.9907813394897556,0.0501836355743286,0.019746893544474,0.0349652645594013,,
M,static_user,London,persistence,2013-12,9,0.788609524731391,0.375946589581056,0.9808591590007426,0.0373867074619474,0.0211402904822792,0.0292634989721133,,
M,static_global,London,persistence,2014-01,10,0.7982720325264465,0.3886940072367221,1.0103609847081243,0.0494310869994198,0.0227750002052393,0.03610304360232955,,
M,static_segment,London,persistence,2014-01,10,0.7981147245631679,0.3972606918997849,1.0095462102840906,0.0493231420755041,0.0090732211905524,0.02919818163302825,,
M,static_user,London,persistence,2014-01,10,0.7993758772944106,0.4135031348658213,0.992030674310577,0.029389835689327,0.0061588224187046,0.0177743290540158,,
M,static_global,Ausgrid,persistence,2012-07,0,0.7830941849174669,0.6175537421705137,1.5560153476864058,0.0554177005789909,0.0353372434017595,0.0453774719903752,,
M,static_segment,Ausgrid,persistence,2012-07,0,0.7831368899917287,0.6242350762783081,1.554278802361039,0.0534177545222426,0.0221275357499168,0.0377726451360797,,
M,static_user,Ausgrid,persistence,2012-07,0,0.7811140180530083,0.6407966623600172,1.535165176145205,0.0408912324234905,0.0253214721206075,0.033106352272049,,
M,static_global,Ausgrid,persistence,2012-08,1,0.8207780415003416,0.6767997620426065,1.4258357693210315,0.0474314021649225,0.0369234578381436,0.04217743000153305,,
M,static_segment,Ausgrid,persistence,2012-08,1,0.8204588772611213,0.6876658054436807,1.425878524400574,0.045885028949545,0.0259637707722384,0.0359243998608917,,
M,static_user,Ausgrid,persistence,2012-08,1,0.8151319811558241,0.7141852803638725,1.4184351904560637,0.0420667457834358,0.0196175464320624,0.0308421461077491,,
M,static_global,Ausgrid,persistence,2012-09,2,0.8644648829431438,0.6314234461713277,1.0421196556879893,0.0687105165366034,0.0676689576174112,0.06818973707700729,,
M,static_segment,Ausgrid,persistence,2012-09,2,0.8636194723151245,0.6415792977978404,1.0474386102127324,0.0687151616499442,0.0815735479797979,0.07514435481487106,,
M,static_user,Ausgrid,persistence,2012-09,2,0.8540458937198068,0.6587699058724015,1.0605949262799232,0.0773225566703827,0.0680913516609392,0.07270695416566095,,
M,static_global,Ausgrid,persistence,2012-10,3,0.8378286043082677,0.5144132170902446,0.9342148149262584,0.0485183586866616,0.0459289435761001,0.04722365113138085,,
M,static_segment,Ausgrid,persistence,2012-10,3,0.8380196533247024,0.5154129473818374,0.934606122706928,0.0487894235264501,0.046358496840705,0.04757396018357755,,
M,static_user,Ausgrid,persistence,2012-10,3,0.831575682382134,0.5171511787822388,0.938915063039161,0.0524139605135397,0.0412177142223699,0.046815837367954805,,
M,static_global,Ausgrid,persistence,2012-11,4,0.8094365477517651,0.4410367684773673,0.921763982201958,0.0399270717205499,0.0203250286368842,0.03012605017871705,,
M,static_segment,Ausgrid,persistence,2012-11,4,0.8095712560386473,0.4356150150567279,0.9209215127035986,0.0389005016722407,0.0120975378787878,0.025499019775514248,,
M,static_user,Ausgrid,persistence,2012-11,4,0.8037880899293943,0.4277197334273839,0.9193792422087558,0.0370889074693422,0.0052205165692007,0.02115471201927145,,
M,static_global,Ausgrid,persistence,2012-12,5,0.8107985399359874,0.430772386983781,0.9429693382222156,0.0484329485381378,0.0176472385141739,0.03304009352615585,,
M,static_segment,Ausgrid,persistence,2012-12,5,0.8110188082137592,0.4247825325291188,0.9427513984447738,0.048080519293703,0.0173516789285039,0.03271609911110345,,
M,static_user,Ausgrid,persistence,2012-12,5,0.8094971589887439,0.4160180680730541,0.9350034206535688,0.0374127917430862,0.0165558385210337,0.026984315132059948,,
M,static_global,Ausgrid,persistence,2013-01,6,0.7951549969432158,0.4176681561054015,1.0409015746260182,0.0491701729780271,0.0122417940011319,0.0307059834895795,,
M,static_segment,Ausgrid,persistence,2013-01,6,0.7953550365016003,0.4138605874018218,1.0408774778558418,0.0491733196677095,0.0076612903225806,0.02841730499514505,,
M,static_user,Ausgrid,persistence,2013-01,6,0.7938648541734096,0.4031471625670443,1.0278574114464345,0.0350999748264825,0.0089014521671655,0.022000713496824,,
M,static_global,Ausgrid,persistence,2013-02,7,0.8022973403408186,0.4190884502334015,0.9426398866880804,0.0473901098901098,0.0103215513009327,0.02885583059552125,,
M,static_segment,Ausgrid,persistence,2013-02,7,0.8023645285873546,0.4173115576756512,0.9424017253714126,0.0477091296384774,0.0070922312223857,0.027400680430431548,,
M,static_user,Ausgrid,persistence,2013-02,7,0.7990076047141265,0.4092354607347637,0.9334492993710612,0.0384366539257843,0.0073990549828177,0.022917854454300998,,
M,static_global,Ausgrid,persistence,2013-03,8,0.8019810659186536,0.4216228043680664,0.9393161505062128,0.0496498183910526,0.010751160801564,0.0302004895963083,,
M,static_segment,Ausgrid,persistence,2013-03,8,0.8017495594634445,0.4182667388162325,0.9389931378760212,0.0492510878555759,0.0051609848484848,0.027206036352030352,,
M,static_user,Ausgrid,persistence,2013-03,8,0.8005223504872874,0.4138521702269805,0.9269051982178288,0.0332389326428597,0.0020798691941026,0.01765940091848115,,
M,static_global,Ausgrid,persistence,2013-04,9,0.7866383314752879,0.4155348465853243,0.9268754785447284,0.0443167038275734,0.0271016081871345,0.03570915600735395,,
M,static_segment,Ausgrid,persistence,2013-04,9,0.7867660720921591,0.4119483828889019,0.9266424365994036,0.0438498699368264,0.0208017676767676,0.032325818806796996,,
M,static_user,Ausgrid,persistence,2013-04,9,0.7827805648457823,0.4079511607875253,0.928058134746484,0.045006503158677,0.0289772727272727,0.03699188794297485,,
M,static_global,Ausgrid,persistence,2013-05,10,0.7582712985938792,0.4275323119727203,1.170685955762338,0.0668626604811738,0.0524111016789285,0.05963688108005115,,
M,static_segment,Ausgrid,persistence,2013-05,10,0.7586623871686985,0.4218511848098613,1.171193220930927,0.0662459093034128,0.0517106549364614,0.0589782821199371,,
M,static_user,Ausgrid,persistence,2013-05,10,0.7572418815406192,0.4137545228997797,1.1688154325021989,0.0626389038731255,0.0534365835777126,0.05803774372541905,,
M,static_global,Ausgrid,persistence,2013-06,11,0.7422798216276477,0.4787220857664334,1.4973994367906385,0.08173541434411,0.0705571338383839,0.07614627409124694,,
M,static_segment,Ausgrid,persistence,2013-06,11,0.7419778892604979,0.4716711260510999,1.4993786716130033,0.0820930880713489,0.0694839015151516,0.07578849479325026,,
M,static_user,Ausgrid,persistence,2013-06,11,0.7426537532515793,0.4753986732120581,1.4803658843087035,0.0738967855815682,0.0705808080808081,0.07223879683118815,,
M,static_global,UCI Electricity,persistence,2014-01,0,0.8008584807492196,225.8816674852372,383.8923585564247,0.0566806199350424,0.0780391278375149,0.06735987388627865,,
M,static_segment,UCI Electricity,persistence,2014-01,0,0.8008082253334594,212.78093413878028,380.65695170506297,0.0513537429445337,0.0096998207885303,0.030526781866532002,,
M,static_user,UCI Electricity,persistence,2014-01,0,0.8067984738120014,212.01266798972733,374.2079456205983,0.0254383060574527,0.0399168657905216,0.03267758592398715,,
M,static_global,UCI Electricity,persistence,2014-02,1,0.7980696219103477,227.4628159298937,369.706694757412,0.0558840856723921,0.0839919532627866,0.06993801946758935,,
M,static_segment,UCI Electricity,persistence,2014-02,1,0.7982234499371597,213.58738441074644,365.1284982494871,0.0510905425219941,0.004943783068783,0.028017162795388552,,
M,static_user,UCI Electricity,persistence,2014-02,1,0.8039521802122609,210.65879856388585,356.0113224168681,0.0235684174696271,0.0314869929453262,0.027527705207476647,,
M,static_global,UCI Electricity,persistence,2014-03,2,0.8116220083246618,231.2034325275938,373.9830076892434,0.0497278324346482,0.0644240342493031,0.05707593334197565,,
M,static_segment,UCI Electricity,persistence,2014-03,2,0.8120999274745373,215.13693654246435,370.5068419790989,0.0446681960079462,0.0147774790919952,0.0297228375499707,,
M,static_user,UCI Electricity,persistence,2014-03,2,0.8164889004509192,207.5837723971951,364.1897047574592,0.0305119351685428,0.0492756869772997,0.039893811072921254,,
M,static_global,UCI Electricity,persistence,2014-04,3,0.8101427582274356,220.53631582874135,407.061886752555,0.0529233870967741,0.0712319958847736,0.06207769149077384,,
M,static_segment,UCI Electricity,persistence,2014-04,3,0.8105388563049853,207.63487057256648,408.73460438194985,0.0483484033887259,0.0152397260273972,0.03179406470806155,,
M,static_user,UCI Electricity,persistence,2014-04,3,0.8146118442489411,199.1798458751848,404.7630274179744,0.0364450961225154,0.0426183127572016,0.0395317044398585,,
M,static_global,UCI Electricity,persistence,2014-05,4,0.8063195692618169,220.53619797088717,452.28141286228765,0.0514036042001702,0.0802045997610514,0.0658041019806108,,
M,static_segment,UCI Electricity,persistence,2014-05,4,0.7986166950461956,206.06477496850545,456.02769197422737,0.0481961261943051,0.0181557724957556,0.03317594934503035,,
M,static_user,UCI Electricity,persistence,2014-05,4,0.8018202314508246,213.8118093008748,441.9580847141586,0.0318142402169457,0.0273596176821983,0.029586928949572,,
M,static_global,UCI Electricity,persistence,2014-06,5,0.7989725887911372,220.536197937525,510.52687458991386,0.0539070136852394,0.0769675925925926,0.06543730313891599,,
M,static_segment,UCI Electricity,persistence,2014-06,5,0.7915251303356142,215.6972033712445,510.7846459757343,0.0500315656565656,0.0230592105263158,0.0365453880914407,,
M,static_user,UCI Electricity,persistence,2014-06,5,0.7950054985337244,234.1487435697224,495.7240725791307,0.0282329341805148,0.0241374269005848,0.0261851805405498,,
M,static_global,UCI Electricity,persistence,2014-07,6,0.7838475152145807,220.5361976686257,577.1525051871012,0.0549551839939456,0.0938321385902031,0.07439366129207435,,
M,static_segment,UCI Electricity,persistence,2014-07,6,0.7818225175795415,227.05648442145176,573.1357235156272,0.0511430643584649,0.022304753820034,0.03672390908924945,,
M,static_user,UCI Electricity,persistence,2014-07,6,0.784455507205247,243.12814211214103,556.106865333489,0.0327397281871787,0.0237584889643464,0.02824910857576255,,
M,static_global,UCI Electricity,persistence,2014-08,7,0.8012822028820988,232.63460528733933,594.0641230714605,0.0587113328918739,0.041549681401832,0.05013050714685295,,
