dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
London,lightgbm_quantile,0.8,1.0,rolling_user_norm,0.03208339624496588,0.007973975941805624,0.024109420303160257,0.7514609774812478,0.03207819099728536,0.00797862301028737,0.024099567986997986,0.7512757807644899,0.032078190997285365,0.02410421505547974,0.7514206476767837,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,6.0,raw,0.06161175036823739,0.04635160665359109,0.015260143714646304,0.24768235967068616,0.06160667078849053,0.0463939134969698,0.015212757291520732,0.24693360470247658,0.061606670788490546,0.015255064134899458,0.24762032974113304,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,6.0,rolling_global_norm,0.0592586025520551,0.043801599268178004,0.015457003283877092,0.26083982102512543,0.05923613311596155,0.04382439297546192,0.015411740140499626,0.2601746489820558,0.05923613311596155,0.015434533847783545,0.26055944295973316,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,6.0,rolling_group_norm,0.05829754684839084,0.04237868544132229,0.015918861407068552,0.27306228593918874,0.058274590879215354,0.042400099119395,0.015874491759820357,0.2724084634540484,0.05827459087921536,0.01589590543789307,0.27277592511700705,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,6.0,rolling_user_norm,0.04326923314604615,0.01098172241609492,0.03228751072995123,0.7462002069916877,0.04327084078130383,0.011000396989686405,0.03227044379161743,0.7457780622917921,0.04327084078130383,0.03228911836520891,0.7462096363785048,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,1.0,raw,0.038297974485845626,0.030056514477088486,0.00824146000875714,0.2151931040583638,0.038310157008389197,0.03009668963325332,0.008213467375135876,0.21439398886664135,0.038310157008389197,0.00825364253130071,0.21544267045142412,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,1.0,rolling_global_norm,0.03241258895268828,0.024314479688944065,0.008098109263744217,0.24984456735513452,0.03239955727607709,0.024321099726669262,0.008078457549407825,0.24933851659055628,0.03239955727607709,0.008085077587133022,0.24954284153452966,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,1.0,rolling_group_norm,0.031782762666368314,0.02391253412545997,0.007870228540908342,0.24762569017439168,0.03177075843009874,0.02392106663312154,0.007849691796977198,0.24707284889808037,0.03177075843009873,0.007858224304638759,0.2473414137068285,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,1.0,rolling_user_norm,0.023840165752234327,0.006880278881991747,0.01695988687024258,0.7113997044526874,0.023852385247594525,0.0069062712239446765,0.016946114023649848,0.7104578367213332,0.02385238524759453,0.01697210636560278,0.7115475533967568,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,6.0,raw,0.05170101519429543,0.04081732760894693,0.010883687585348502,0.21051206720887336,0.05171703602753121,0.04086583934747263,0.01085119668005858,0.20981861130405888,0.05171703602753122,0.010899708418584293,0.210756633709285,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,6.0,rolling_global_norm,0.04461278847594021,0.03397767660544424,0.01063511187049597,0.2383870686816968,0.04460566408482214,0.033995378757429126,0.010610285327393013,0.237868565463267,0.04460566408482214,0.010627987479377897,0.23826542430054878,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,6.0,rolling_group_norm,0.04382488872295623,0.03278061342297878,0.011044275299977452,0.25200920348697364,0.04381551153807597,0.03279711687259108,0.01101839466548489,0.2514724644013304,0.04381551153807597,0.01103489811509719,0.2518491220970407,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.9,6.0,rolling_user_norm,0.03237935820902056,0.010277073105166267,0.022102285103854293,0.682604175202485,0.032395360616300585,0.010310108207022302,0.022085252409278285,0.681741211985938,0.032395360616300585,0.022118287511134316,0.6827609599136524,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,1.0,raw,0.050362720535166355,0.02757388151159851,0.022788839023567844,0.45249420169141324,0.05030264723335035,0.027569609696799155,0.022733037536551197,0.4519252720655888,0.05030264723335036,0.022728765721751847,0.45184034979938015,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,1.0,rolling_global_norm,0.051362575462295224,0.02946887899199785,0.021893696470297375,0.42625776206197696,0.05135417590656175,0.029466766971171437,0.021887408935390314,0.42620504660057573,0.05135417590656175,0.021885296914563902,0.4261639200361021,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,1.0,rolling_group_norm,0.051374716989786524,0.02996652660816313,0.021408190381623393,0.41670673117049806,0.05136926020989861,0.029962896393283846,0.021406363816614767,0.4167154389443565,0.051369260209898626,0.021402733601735495,0.416644769932102,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,1.0,rolling_user_norm,0.04078720233694834,0.007106291007023844,0.0336809113299245,0.8257715508821161,0.040839314321333815,0.007124764389414042,0.033714549931919774,0.8255415276232447,0.040839314321333815,0.03373302331430997,0.825993870731771,within-user effective-sample weighting for both terms; users macro-averaged
