dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,2,42,2013-10-18 00:00:00,2013-10-25 00:00:00,rolling_global_norm,167953,0.8024506856084738,0.2967763591444709,0.0500404391168231,0.015948025551684,2.243200382126011
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,2,42,2013-10-18 00:00:00,2013-10-25 00:00:00,rolling_group_norm,167953,0.8025995367751693,0.2966359650509924,0.04980212143681,0.007273519163763,2.24320063483587
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,2,42,2013-10-18 00:00:00,2013-10-25 00:00:00,rolling_user_norm,167953,0.8023554208617887,0.2976390530919409,0.0346669962102487,0.0107578397212543,2.2373499404634987
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,3,49,2013-10-25 00:00:00,2013-11-01 00:00:00,rolling_global_norm,167564,0.8032095199446182,0.3019149398267933,0.0462962997972702,0.0112296747967479,2.3240265977359136
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,3,49,2013-10-25 00:00:00,2013-11-01 00:00:00,rolling_group_norm,167564,0.8026664438662242,0.3017399121657651,0.0465123949303691,0.0066481260760163,2.324069538970487
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,3,49,2013-10-25 00:00:00,2013-11-01 00:00:00,rolling_user_norm,167564,0.8036213029051587,0.3026397386246982,0.0319977968005612,0.006166552292893,2.318483507032123
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,1,35,2013-11-10 00:00:00,2013-11-17 00:00:00,rolling_global_norm,167866,0.7927037041449728,0.346027971075924,0.0490150517598343,0.0159924468007843,2.5717182430514325
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,1,35,2013-11-10 00:00:00,2013-11-17 00:00:00,rolling_group_norm,167866,0.7930075179011831,0.3459145076178592,0.04888983436853,0.0226741230299949,2.571726378193204
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,1,35,2013-11-10 00:00:00,2013-11-17 00:00:00,rolling_user_norm,167866,0.789492809741103,0.3460463074389625,0.0373020841959972,0.0224562422833902,2.5671640475798223
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,2,42,2013-11-17 00:00:00,2013-11-24 00:00:00,rolling_global_norm,167728,0.7959374701898312,0.3649804281691386,0.0477669061575466,0.0170677701549966,2.680787729518669
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,2,42,2013-11-17 00:00:00,2013-11-24 00:00:00,rolling_group_norm,167728,0.7960149766288276,0.3649110515540862,0.047603353065689,0.0214599440996043,2.6807981216628383
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,2,42,2013-11-17 00:00:00,2013-11-24 00:00:00,rolling_user_norm,167728,0.791275159782505,0.3653310132318771,0.0373496792908833,0.0238919743003376,2.6745104880933046
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,3,49,2013-11-24 00:00:00,2013-12-01 00:00:00,rolling_global_norm,167792,0.8004851244397826,0.375407269804082,0.0498540609313998,0.0068289266328138,2.7166491582988748
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,3,49,2013-11-24 00:00:00,2013-12-01 00:00:00,rolling_group_norm,167792,0.8006162391532373,0.3754140711467174,0.0494006879155268,0.0075348432055749,2.7166294074359567
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-12,9,3,49,2013-11-24 00:00:00,2013-12-01 00:00:00,rolling_user_norm,167792,0.7966768379898922,0.3760380599186517,0.0369234715140006,0.0092770034843205,2.709471219330673
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,1,35,2013-12-11 00:00:00,2013-12-18 00:00:00,rolling_global_norm,167789,0.8021622394793461,0.3734465396731118,0.0508550207552839,0.0093388039649976,2.6507165301107496
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,1,35,2013-12-11 00:00:00,2013-12-18 00:00:00,rolling_group_norm,167789,0.8023052762696005,0.3737201484816344,0.0509154753828437,0.0133328492066373,2.650741787886544
